INFO 2022-11-11 14:05:59,326 autoreload 51997 140263233537856 Watching for file changes with StatReloader
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/template/loaders/filesystem.py first seen with mtime 1668153248.0428362
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/apps/__init__.py first seen with mtime 1668153247.5188293
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/sqlite3/operations.py first seen with mtime 1668153248.010836
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/management/color.py first seen with mtime 1668153247.9988356
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/inspect.py first seen with mtime 1668153248.0508363
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/mime/multipart.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /usr/lib/python3.8/encodings/aliases.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1668153247.418828
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/fields/files.py first seen with mtime 1668153248.018836
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/forms/widgets.py first seen with mtime 1668153248.026836
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /usr/lib/python3.8/asyncio/locks.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1668153248.010836
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /usr/lib/python3.8/multiprocessing/process.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /usr/lib/python3.8/lib-dynload/_contextvars.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/asgiref/current_thread_executor.py first seen with mtime 1668153247.4548285
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/template/loaders/__init__.py first seen with mtime 1668153248.0428362
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/decorators/cache.py first seen with mtime 1668153248.0548365
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1668153248.010836
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/checks/security/sessions.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/engine/__init__.py first seen with mtime 1668153247.418828
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /usr/lib/python3.8/lib-dynload/_asyncio.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/_policybase.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/backports/zoneinfo/_version.py first seen with mtime 1668153247.4708288
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /usr/lib/python3.8/logging/__init__.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/checks/templates.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/template/backends/__init__.py first seen with mtime 1668153248.0428362
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/static.py first seen with mtime 1668153248.0548365
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/mime/base.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/itercompat.py first seen with mtime 1668153248.0508363
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/templatetags/__init__.py first seen with mtime 1668153248.0428362
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/checks/async_checks.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/auth/signals.py first seen with mtime 1668153247.722832
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/files/utils.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/files/locks.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1668153247.7588325
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/shortcuts.py first seen with mtime 1668153247.5188293
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /usr/lib/python3.8/reprlib.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,425 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1668153247.6868315
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/asyncio.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/policy.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /usr/lib/python3.8/platform.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/functions/window.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/decorators/common.py first seen with mtime 1668153248.0548365
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/i18n.py first seen with mtime 1668153248.0548365
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/duration.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/asgiref/__init__.py first seen with mtime 1668153247.4548285
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/admin/utils.py first seen with mtime 1668153247.5908303
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/autoreload.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /usr/lib/python3.8/hmac.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /usr/lib/python3.8/multiprocessing/reduction.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/files/base.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/handlers/base.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1668153247.722832
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/filters/reindent.py first seen with mtime 1668153247.418828
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/messages/constants.py first seen with mtime 1668153247.8828342
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/checks/model_checks.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/auth/apps.py first seen with mtime 1668153247.718832
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /usr/lib/python3.8/gzip.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /usr/lib/python3.8/mimetypes.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,426 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/files/images.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/urllib/parse.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/filters/others.py first seen with mtime 1668153247.418828
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/bloggerpro/myapp/models.py first seen with mtime 1668174085.040641
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1668153247.9348347
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/socketserver.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/ddl_references.py first seen with mtime 1668153248.0028358
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/base/client.py first seen with mtime 1668153248.0068357
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/decorators.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/checks/database.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/bloggerpro/bloggerpro/settings.py first seen with mtime 1668175558.9277766
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/mail/__init__.py first seen with mtime 1668153247.9988356
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1668153247.9908357
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/functional.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/auth/models.py first seen with mtime 1668153247.722832
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/translation/__init__.py first seen with mtime 1668153248.0508363
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/asyncio/log.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/html/__init__.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/lib-dynload/_queue.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1668153247.9908357
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/fnmatch.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/tokens.py first seen with mtime 1668153247.418828
DEBUG 2022-11-11 14:05:59,427 autoreload 51997 140263233537856 File /usr/lib/python3.8/tokenize.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/csrf.py first seen with mtime 1668153248.0508363
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/mime/message.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/handlers/asgi.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/bloggerpro/manage.py first seen with mtime 1668153305.3235793
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/urls/conf.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/copy.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1668153247.8828342
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/handlers/__init__.py first seen with mtime 1668153247.9948356
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/generic/dates.py first seen with mtime 1668153248.0548365
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/template/smartif.py first seen with mtime 1668153248.0388362
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/posixpath.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/module_loading.py first seen with mtime 1668153248.0508363
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/conf/locale/__init__.py first seen with mtime 1668153247.5188293
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/sqlite3/__init__.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1668153248.010836
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/middleware/security.py first seen with mtime 1668153248.0388362
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/apps/config.py first seen with mtime 1668153247.5188293
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/urllib/__init__.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/lib-dynload/_decimal.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/datetime.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,428 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/parser.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/functions/datetime.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/backends/signals.py first seen with mtime 1668153248.0068357
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/utils.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/codecs.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/concurrent/futures/__init__.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1668153247.9908357
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1668153247.7588325
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/json/decoder.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/lib-dynload/_uuid.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/hashable.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/_sitebuiltins.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/views/decorators/__init__.py first seen with mtime 1668153248.0548365
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/dis.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/signals.py first seen with mtime 1668153248.018836
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/logging/config.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /usr/lib/python3.8/genericpath.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/cache/__init__.py first seen with mtime 1668153247.9908357
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/cache.py first seen with mtime 1668153248.0468364
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/migrations/operations/base.py first seen with mtime 1668153248.0148358
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/functions/text.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,429 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/keywords.py first seen with mtime 1668153247.418828
